agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,program_purpose,program_category,recipient_name,recipient_type,recipients,statutory_references,has_transfer_authority,has_interchange_authority,transfer_targets,requires_approval,approval_authority,set_aside_amount,set_aside_purpose,percentage_allocations,time_limits,has_notwithstanding
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31423,2021,14000000,12672000,"30 By chapter 54, section 1, of the laws of 2021, as amended by chapter 54,
31 section 1, of the laws of 2023:
32 For allocation as follows: For the purpose of maximizing the state's
33 utilization of federal low income housing tax credits in conjunction
34 with the issuance of tax exempt bonds used to finance affordable
35 housing construction. The amounts appropriated herein may be subal-
36 located or transferred to any state department, agency, or public
37 authority for the purposes stated herein.
38 Up to 5 percent of the funds appropriated herein may be used for
39 administrative purposes (08032107) (31423) .........................
40 14,000,000 ....................................... (re. $12,672,000)",487,30.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31423|2021|14000000,,housing,,,[],[],False,False,[],False,,,,"[{""percentage"": 5.0, ""context"": ""c\n37 authority for the purposes stated herein.\n38 Up to 5 percent of the funds appropriated herein may be used for""}]",[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,30904,2021,186000000,143710000,"44 By chapter 54, section 1, of the laws of 2021:
45 In support of a comprehensive, statewide multi-year housing program.
46 Notwithstanding any other law to the contrary, the amounts appropri-
47 ated herein may be suballocated or transferred to any state depart-
48 ment, agency, or public authority for the purposes stated herein.
49 Funds appropriated shall support the development of supportive housing
50 units throughout the state (08112107) (30904) ......................
51 186,000,000 ..................................... (re. $143,710,000)",489,44.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30904|2021|186000000,,housing,,,[],[],False,False,[],False,,,,[],[],True
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,30904,2018,132000000,132000000,"1 By chapter 54, section 1, of the laws of 2018:
2 In support of a comprehensive, statewide multi-year housing program.
3 Spending authorized by this appropriation shall be subject to the
4 same reporting requirements as the 2016-17 and 2017-18 state fiscal
5 year housing program (CCP).
6 Notwithstanding any other law to the contrary, the amounts appropri-
7 ated herein may be suballocated or transferred to any state depart-
8 ment, agency, or public authority for the purposes stated herein.
9 When combined with other funds made available in the 2016-17 and
10 2017-18 state fiscal year housing program (CCP), funds appropriated
11 herein shall be made available for the purpose of providing capital
12 subsidies for the development of 6,000 or more supportive housing
13 units throughout the state over the next five years, as determined
14 by a competitive selection process (08111807) (30904) ..............
15 132,000,000 ..................................... (re. $132,000,000)",490,1.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30904|2018|132000000,,housing,,,[],[],False,False,[],False,,,,[],[],True
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31422,2023,1400000,275000,"498 12554-09-5
DIVISION OF HOUSING AND COMMUNITY RENEWAL
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 this appropriation until the director of the budget has approved a
2 financial plan submitted by the housing trust fund corporation on
3 behalf of the housing opportunities for the elderly program in such
4 detail as required by the director of the budget.
5 Up to 5 percent of the funds appropriated herein may be used for
6 administrative purposes (08082303) (31422) .........................
7 1,400,000 ........................................... (re. $275,000)",498,1.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31422|2023|1400000,,social_services,,,[],[],False,False,[],False,,,,"[{""percentage"": 5.0, ""context"": ""tail as required by the director of the budget.\n5 Up to 5 percent of the funds appropriated herein may be used for""}]",[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31518,2022,2000000,745000,"24 By chapter 54, section 1, of the laws of 2022:
25 For additional funding for the housing opportunities program for the
26 elderly. For allocation as follows: For contracts with not-for-pro-
27 fit corporations or municipalities to provide state financial
28 assistance to administer emergency home repairs programs which
29 provide grants and loans in an amount not to exceed $10,000 per unit
30 for the cost of correcting any condition which poses a threat to the
31 life, health or safety of a low income elderly homeowner pursuant to
32 article XXIX of the private housing finance law. No funds shall be
33 expended from this appropriation until the director of the budget
34 has approved a financial plan submitted by the housing trust fund
35 corporation on behalf of the housing opportunities for the elderly
36 program in such detail as required by the director of the budget.
37 The amounts appropriated herein may be suballocated or transferred
38 to any state department, agency, or public authority for the
39 purposes stated herein (08HO2203) (31518) ..........................
40 2,000,000 ........................................... (re. $745,000)",498,24.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31518|2022|2000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31421,2020,44200000,20662000,"502 12554-09-5
DIVISION OF HOUSING AND COMMUNITY RENEWAL
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 $300,000 to offset housing trust fund corporation costs of adminis-
2 tering the low income housing trust fund program established by such
3 article. No funds shall be expended from this appropriation until
4 the director of the budget has approved a financial plan submitted
5 by the housing trust fund corporation on behalf of the housing trust
6 fund program in such detail as required by the director of the budg-
7 et.
8 Up to 5 percent of the funds appropriated herein may be used for
9 administrative purposes (08042007) (31421) .........................
10 44,200,000 ....................................... (re. $20,662,000)",502,1.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31421|2020|44200000,,housing,,,[],[],False,False,[],False,,,,"[{""percentage"": 5.0, ""context"": ""as required by the director of the budg-\n7 et.\n8 Up to 5 percent of the funds appropriated herein may be used for""}]",[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31413,2022,4200000,1211000,"31 By chapter 54, section 1, of the laws of 2022:
32 For allocation as follows: For contract with not-for-profit corpo-
33 rations and municipalities to provide state fiscal assistance to
34 administer main street or downtown revitalization projects for
35 communities pursuant to article XXVI of the private housing finance
36 law (08062207) (31413) ... 4,200,000 .............. (re. $1,211,000)",502,31.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31413|2022|4200000,,housing,,,[],[],False,False,[],False,,,,[],[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,30917,2021,5000000,5000000,"34 By chapter 54, section 1, of the laws of 2021:
35 For allocation as follows: For the purposes of a mobile and manufac-
36 tured home advantage program to fund loans and grants for the acqui-
37 sition, demolition, or replacement and/or repair of mobile or manu-
38 factured homes and/or mobile or manufactured home parks. No funds
39 shall be expended from this appropriation until the director of the
40 budget has approved a financial plan submitted by the administering
41 agency in such detail as required by the director of the budget.
42 Notwithstanding any other law to the contrary, the amounts appropri-
43 ated herein may be suballocated or transferred to any state depart-
44 ment, agency, or public authority for the purposes stated herein
45 (08212103) (30917) ... 5,000,000 .................. (re. $5,000,000)",503,34.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30917|2021|5000000,,environment,,,[],[],False,False,[],False,,,,[],[],True
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,30917,2020,5000000,2549000,"504 12554-09-5
DIVISION OF HOUSING AND COMMUNITY RENEWAL
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 sition, demolition, or replacement and/or repair of mobile or manu-
2 factured homes and/or mobile or manufactured home parks. No funds
3 shall be expended from this appropriation until the director of the
4 budget has approved a financial plan submitted by the administering
5 agency in such detail as required by the director of the budget.
6 Notwithstanding any other law to the contrary, the amounts appropri-
7 ated herein may be suballocated or transferred to any state depart-
8 ment, agency, or public authority for the purposes stated herein
9 (08212003) (30917) ... 5,000,000 .................. (re. $2,549,000)",504,1.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30917|2020|5000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],True
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Assistance Account - 31801,31414,1991,125132000,10100000,"18 By chapter 54, section 1, of the laws of 1991, as amended by chapter 54,
19 section 1, of the laws of 2024:
20 For expenditure of funds made available pursuant to the CranstonGon-
21 zales National Affordable Housing Act (, being P.L. 101-625) for
22 activities authorized pursuant to article XXIV of the Private Hous-
23 ing Finance Law. Notwithstanding any other provision of law,
24 $85,800,000 of the amount appropriated herein shall be used for
25 payment of administrative costs incurred in the implementation of
26 article XXIV of the private housing finance law for Federal aid made
27 available under the HOME Investment Partnership Program to pay State
28 personal service and fringe benefit costs related to administration
29 of the HOME program. Such funds allocated for administration shall
30 be set aside prior to the distribution of funds to projects as
31 required by article XXIV of the private housing finance law
32 (08019107) (31414) ... 125,132,000 ............... (re. $10,100,000)",505,18.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31414|1991|125132000,,housing,,,[],[],False,False,[],False,,,,[],[],True
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31420,2019,6400000,6080000,"510 12554-09-5
DIVISION OF HOUSING AND COMMUNITY RENEWAL
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 associated with article XII of the public housing law. No funds
2 shall be expended from this appropriation until the director of the
3 budget has approved a financial plan submitted by the housing trust
4 fund corporation on behalf of the public housing modernization
5 program in such detail as required by the director of the budget.
6 Up to 5 percent of the funds appropriated herein may be used for
7 administrative purposes (08051903) (31420) .........................
8 6,400,000 ......................................... (re. $6,080,000)",510,1.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31420|2019|6400000,,housing,,,[],[],False,False,[],False,,,,"[{""percentage"": 5.0, ""context"": ""tail as required by the director of the budget.\n6 Up to 5 percent of the funds appropriated herein may be used for""}]",[],False
DIVISION OF HOUSING AND COMMUNITY RENEWAL,CAPITAL PROJECTS,Capital Projects Fund,Housing Trust Fund Corporation Account - 31851,31526,2022,7000000,6850000,"38 By chapter 54, section 1, of the laws of 2022:
39 For services and expenses of a small rental housing development initi-
40 ative for capital developments under 20 units. The amounts appropri-
41 ated herein may be suballocated or transferred to any state depart-
42 ment, agency, or public authority for the purposes stated herein
43 (08242207) (31526) ... 7,000,000 .................. (re. $6,850,000)",511,38.0,2025-26,CAP 25-26.pdf,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31526|2022|7000000,For services and expenses of a small rental housing development initi-,housing,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,general fund,OASAS-Community Facilities Account - 32305,11828,2011,40273000,1326000,"25 By chapter 54, section 1, of the laws of 2011, as amended by chapter 54,
26 section 1, of the laws of 2020:
27 For the acquisition of property, design, construction and extensive
28 rehabilitation of facilities for the purpose of delivering chemical
29 dependence services, pursuant to the mental hygiene law. No expendi-
30 ture shall be made from this appropriation until a spending plan for
31 proposed projects has been submitted by the commissioner of the
32 office of addiction services and supports and approved by the direc-
33 tor of the budget (53AA1107) (11828) ...............................
34 40,273,000 ........................................ (re. $1,326,000)",527,25.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|11828|2011|40273000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OASAS Administration Account - 32308,81088,2020,4000000,1012000,"24 By chapter 54, section 1, of the laws of 2020:
25 For payment to the design and construction management account of the
26 centralized services fund of the New York state office of general
27 services or to the dormitory authority of the state of New York for
28 the purpose of preparation and review of plans, specifications,
29 estimates, services, construction management and supervision,
30 inspection, studies, appraisals, surveys, testing and environmental
31 impact statements for new projects (53PP2030) (81088) ..............
32 4,000,000 ......................................... (re. $1,012,000)",534,24.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81088|2020|4000000,For payment to the design and construction management account of the,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OASAS Administration Account - 32308,81088,2023,2000000,1311000,"1 By chapter 54, section 1, of the laws of 2023:
2 For payment to the design and construction management account of the
3 centralized services fund of the New York state office of general
4 services or to the dormitory authority of the state of New York for
5 the purpose of preparation and review of plans, specifications,
6 estimates, services, construction management and supervision,
7 inspection, studies, appraisals, surveys, testing and environmental
8 impact statements for new projects (53DC2330) (81088) ..............
9 2,000,000 ......................................... (re. $1,311,000)",535,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81088|2023|2000000,For payment to the design and construction management account of the,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OASAS Administration Account - 32308,81107,2023,3500000,1578000,"18 By chapter 54, section 1, of the laws of 2023:
19 For the maintenance and operation of various facilities and systems
20 including personal services, fringe benefits and indirect costs
21 (53FM23MO) (81107) ... 3,500,000 .................. (re. $1,578,000)",535,18.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81107|2023|3500000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,MH Capital Improvement Account - 32309,36910,2013,28188000,2141000,"565 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE OF MENTAL HEALTH
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 committee and the chairman of the assembly ways and means committee
2 (50061302) (36910) ... 28,188,000 ................. (re. $2,141,000)",565,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|36910|2013|28188000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,MH Capital Improvement Account - 32309,81028,2008,60276000,655000,"569 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE OF MENTAL HEALTH
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 without limit with any appropriation of the office of mental health
2 capital projects budget, upon the request of the commissioner of
3 mental health and with the approval of the director of the budget,
4 who shall file such approval with the department of audit and
5 control and copies thereof with the chairman of the senate finance
6 committee and the chairman of the assembly ways and means committee
7 (50010801) (81028) ... 60,276,000 ................... (re. $655,000)",569,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81028|2008|60276000,,health,,,[],[],False,False,[],True,director of the budget,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,MH Capital Improvement Account - 32309,81063,2008,32952000,956000,"11 By chapter 54, section 1, of the laws of 2008, as amended by chapter 54,
12 section 1, of the laws of 2018:
13 For payment of the cost of construction, reconstruction and improve-
14 ments, including the preparation of designs, plans, specifications
15 and estimates related to improvements or changes to existing facili-
16 ties and programs. Upon request of the commissioner of mental health
17 and approval by the director of the budget, this appropriation may
18 be transferred or suballocated to the dormitory authority of the
19 state of New York. Notwithstanding any other provision of law to the
20 contrary, any of the amounts appropriated herein may be increased or
21 decreased by interchange or transfer without limit with any appro-
22 priation of the office of mental health capital projects budget,
23 upon the request of the commissioner of mental health and with the
24 approval of the director of the budget, who shall file such approval
25 with the department of audit and control and copies thereof with the
26 chairman of the senate finance committee and the chairman of the
27 assembly ways and means committee (50080808) (81063) ...............
28 32,952,000 .......................................... (re. $956,000)",573,11.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81063|2008|32952000,"For payment of the cost of construction, reconstruction and improve-",infrastructure,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,MH Capital Improvement Account - 32309,81042,2023,1000000,1000000,"574 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE OF MENTAL HEALTH
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 For transfer to the Mental Hygiene Capital Improvement Fund for
2 reimbursement of the non-bondable cost of projects for community
3 facilities authorized by appropriations or reappropriations funded
4 from the Mental Hygiene Capital Improvement Fund including liabil-
5 ities incurred prior to April 1, 2023 or for payment to the dormito-
6 ry authority of the state of New York for defeasance of bonds. Upon
7 request of the commissioner of mental health and approval by the
8 director of the budget, this appropriation may be transferred to the
9 dormitory authority of the state of New York (500523NB) (81042) ....
10 1,000,000 ......................................... (re. $1,000,000)",574,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81042|2023|1000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,37884,2020,39600000,2547000,"600 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 of projects has been approved by the director of the budget
2 (510120A4) (37884) ... 39,600,000 ................. (re. $2,547,000)",600,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2020|39600000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,37884,2019,31400000,303000,"601 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 of projects has been approved by the director of the budget
2 (510119A4) (37884) ... 31,400,000 ................... (re. $303,000)",601,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2019|31400000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,37884,2018,31400000,170000,"602 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 of projects has been approved by the director of the budget
2 (510118A4) (37884) ... 31,400,000 ................... (re. $170,000)",602,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2018|31400000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,OPWDD-State Facilities Account - 32310,37884,2017,21000000,17000,"603 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 of projects has been approved by the director of the budget
2 (510117A4) (37884) ... 21,000,000 .................... (re. $17,000)",603,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2017|21000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,OPWDD-State Facilities Account - 32310,37884,2024,32826000,32826000,"604 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 developmental disabilities shall have a lien on the real property
2 developed with such state aid, loans or grants, which shall be in
3 the amount of the loan or grant, for a maximum term of 30 years, or
4 other longer term consistent with the requirements of another regu-
5 latory agency. Upon request of the commissioner of the office for
6 people with developmental disabilities and approval by the director
7 of the budget, the funds appropriated herein may be suballocated or
8 transferred to any public housing agencies, including municipal,
9 county, state or federal agencies, public benefit corporations or
10 authorities, or private corporations for the purposes stated above,
11 provided, however, that no expenditures may be made from this appro-
12 priation until a comprehensive plan of projects has been approved by
13 the director of the budget (510224A4) (37884) ......................
14 32,826,000 ....................................... (re. $32,826,000)",604,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2024|32826000,,housing,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,OPWDD-State Facilities Account - 32310,37884,2016,10000000,186000,"613 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 and rehabilitation of supportive housing units for individuals with
2 intellectual and developmental disabilities. Further, the office for
3 people with developmental disabilities shall have a lien on the real
4 property developed with such state aid, loans or grants, which shall
5 be in the amount of the loan or grant, for a maximum term of 30
6 years, or other longer term consistent with the requirements of
7 another regulatory agency. Upon request of the commissioner of the
8 office for people with developmental disabilities and approval by
9 the director of the budget, this appropriation may be suballocated
10 or transferred to the dormitory authority of the state of New York,
11 or the New York state housing finance agency, provided, however,
12 that no expenditures may be made from this appropriation until a
13 comprehensive plan of projects has been approved by the director of
14 the budget (510216A4) (37884) ... 10,000,000 ........ (re. $186,000)",613,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37884|2016|10000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81107,2024,52000000,22252000,"17 By chapter 54, section 1, of the laws of 2024:
18 For the maintenance and operation of various facilities and systems
19 including personal services, fringe benefits and indirect costs
20 (51FM24MO) (81107) ... 52,000,000 ................ (re. $22,252,000)",620,17.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81107|2024|52000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81107,2019,40000000,199000,"29 By chapter 54, section 1, of the laws of 2019:
30 For the maintenance and operation of various facilities and systems
31 including personal services, fringe benefits and indirect costs
32 (51FM19MO) (81107) ... 40,000,000 ................... (re. $199,000)",620,29.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81107|2019|40000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81107,2018,37000000,246000,"33 By chapter 54, section 1, of the laws of 2018:
34 For the maintenance and operation of various facilities and systems
35 including personal services, fringe benefits and indirect costs
36 (51FM18MO) (81107) ... 37,000,000 ................... (re. $246,000)",620,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81107|2018|37000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81078,2013,5000000,24000,"1 By chapter 54, section 1, of the laws of 2013:
2 For alterations and improvements for health and safety projects at
3 various facilities. Upon request of the commissioner of the office
4 for people with developmental disabilities and approval by the
5 director of the budget, this appropriation may be transferred to the
6 dormitory authority of the state of New York, provided, however,
7 that no expenditures may be made from this appropriation until a
8 comprehensive plan of projects has been approved by the director of
9 the budget (51H11301) (81078) ... 5,000,000 .......... (re. $24,000)",621,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81078|2013|5000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81078,2012,3447000,68000,"10 By chapter 54, section 1, of the laws of 2012:
11 For alterations and improvements for health and safety projects at
12 various facilities. Upon request of the commissioner of the office
13 for people with developmental disabilities and approval by the
14 director of the budget, this appropriation may be transferred to the
15 dormitory authority of the state of New York, provided, however,
16 that no expenditures may be made from this appropriation until a
17 comprehensive plan of projects has been approved by the director of
18 the budget (51H11201) (81078) ... 3,447,000 .......... (re. $68,000)",621,10.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81078|2012|3447000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81078,2011,7700000,109000,"19 By chapter 54, section 1, of the laws of 2011:
20 For alterations and improvements for health and safety projects at
21 various facilities. Upon request of the commissioner of the office
22 for people with developmental disabilities and approval by the
23 director of the budget, this appropriation may be transferred to the
24 dormitory authority of the state of New York (51H11101) (81078) ....
25 7,700,000 ........................................... (re. $109,000)",621,19.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81078|2011|7700000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,DASNY-OPWDD Administration Account - 32307,81078,2010,7600000,48000,"26 By chapter 54, section 1, of the laws of 2010, as amended by chapter 54,
27 section 1, of the laws of 2011:
28 For alterations and improvements for health and safety projects at
29 various facilities. Upon request of the commissioner of the office
30 for people with developmental disabilities and approval by the
31 director of the budget, this appropriation may be transferred to the
32 dormitory authority of the state of New York (51H11001) (81078) ....
33 7,600,000 ............................................ (re. $48,000)",621,26.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|81078|2010|7600000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,OPWDD-State Facilities Account - 32310,37855,2013,5600000,579000,"622 12554-09-5
DEPARTMENT OF MENTAL HYGIENE
OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 approved by the director of the budget (51M21303) (37855) ..........
2 5,600,000 ........................................... (re. $579,000)",622,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37855|2013|5600000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF MENTAL HYGIENE,CAPITAL PROJECTS,Capital Projects Fund,OPWDD-State Facilities Account - 32310,37855,2011,5000000,4000,"3 By chapter 54, section 1, of the laws of 2011:
4 For minor maintenance, preservation and alterations of facilities on
5 the grounds of former developmental centers. Upon request of the
6 commissioner of the office for people with developmental disabili-
7 ties and approval by the director of the budget, this appropriation
8 may be transferred to the dormitory authority of the state of New
9 York (51M21103) (37855) ... 5,000,000 ................. (re. $4,000)",622,3.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF MENTAL HYGIENE|37855|2011|5000000,,arts_culture,,,[],[],True,False,"[""dormitory authority""]",False,,,,[],[],False
